title,movie_id,crew,tags
superman returns,1452,Bryan Singer,"adventure, fantasy, action, scienc fictionsav the world, dc comics, invulnerability, sequel, superhero, base on comic book, kryptonite, super powers, superhuman strength, lex luthorsuperman return to discov hi 5-year absenc ha allow lex luthor to walk free, and that those he wa closest too felt abandon and have move on. luthor plot hi ultim reveng that could see million kill and chang the face of the planet forever, as well as rid himself of the man of steel.brandon routh, kevin spacey, kate bosworth"
quantum of solace,10764,Marc Forster,"adventure, action, thriller, crimekilling, undercover, secret agent, british secret servicequantum of solac continu the adventur of jame bond after casino royale. betray by vesper, the woman he loved, 007 fight the urg to make hi latest mission personal. pursu hi determin to uncov the truth, bond and m interrog mr. white, who reveal that the organ that blackmail vesper is far more complex and danger than anyon had imagined.daniel craig, olga kurylenko, mathieu amalr"
pirates of the caribbean: dead man's chest,58,Gore Verbinski,"adventure, fantasy, actionwitch, fortun teller, bondage, exot island, monster, captain, card game, east india trade company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstingercaptain jack sparrow work hi way out of a blood debt with the ghostli davey jones, he also attempt to avoid etern damnation.johnni depp, orlando bloom, keira knightley"
the lone ranger,57201,Gore Verbinski,"action, adventure, westerntexas, horse, survivor, texa ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tontoth texa ranger chase down a gang of outlaw led by butch cavendish, but the gang ambush the rangers, seemingli kill them all. one survivor is found, however, by an american indian name tonto, who nurs him back to health. the ranger, don a mask and ride a white stallion name silver, team up with tonto to bring the unscrupul gang and other of that ilk to justice.johnni depp, armi hammer, william fichtner"
man of steel,49521,Zack Snyder,"action, adventure, fantasy, scienc fictionsav the world, dc comics, superhero, base on comic book, superhuman, alien invasion, reboot, super powers, dc extend universea young boy learn that he ha extraordinari power and is not of thi earth. as a young man, he journey to discov where he came from and what he wa sent here to do. but the hero in him must emerg if he is to save the world from annihil and becom the symbol of hope for all mankind.henri cavill, ami adams, michael shannon"
the chronicles of narnia: prince caspian,2454,Andrew Adamson,"adventure, family, fantasybas on novel, fiction place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasi worldon year after their incred adventur in the lion, the witch and the wardrobe, peter, edmund, luci and susan pevensi return to narnia to aid a young princ whose life ha been threaten by the evil king miraz. now, with the help of a color cast of new characters, includ trufflehunt the badger and nikabrik the dwarf, the pevensi clan embark on an incred quest to ensur that narnia is return to it right heir.ben barnes, william moseley, anna popplewel"
the avengers,24428,Joss Whedon,"scienc fiction, action, adventurenew york, shield, marvel comic, superhero, base on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinemat universewhen an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins!robert downey jr., chri evans, mark ruffalo"
pirates of the caribbean: on stranger tides,1865,Rob Marshall,"adventure, action, fantasysea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3dcaptain jack sparrow cross path with a woman from hi past, and he' not sure if it' love -- or if she' a ruthless con artist who' use him to find the fabl fountain of youth. when she forc him aboard the queen anne' revenge, the ship of the formid pirat blackbeard, jack find himself on an unexpect adventur in which he doesn't know who to fear more: blackbeard or the woman from hi past.johnni depp, penélop cruz, ian mcshane"
men in black 3,41154,Barry Sonnenfeld,"action, comedy, scienc fictiontim travel, time machine, alien, fiction govern agency, see the future, chang historyag j (will smith) and k (tommi lee jones) are back...in time. j ha seen some inexplic thing in hi 15 year with the men in black, but nothing, not even aliens, perplex him as much as hi wry, retic partner. but when k' life and the fate of the planet are put at stake, agent j will have to travel back in time to put thing right. j discov that there are secret to the univers that k never told him - secret that will reveal themselv as he team up with the young agent k (josh brolin) to save hi partner, the agency, and the futur of humankind.wil smith, tommi lee jones, josh brolin"
the hobbit: the battle of the five armies,122917,Peter Jackson,"action, adventure, fantasycorruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlik friendship, epic battle, sword and sorceryimmedi after the event of the desol of smaug, bilbo and the dwarv tri to defend erebor' mountain of treasur from other who claim it: the men of the ruin laketown and the elv of mirkwood. meanwhil an armi of orc led by azog the defil is march on erebor, fuel by the rise of the dark lord sauron. dwarves, elv and men must unite, and the hope for middle-earth fall into bilbo' hands.martin freeman, ian mckellen, richard armitag"
the amazing spider-man,1930,Marc Webb,"action, adventure, fantasyloss of father, vigilante, serum, marvel comic, scientif experiment, spider bite, mask vigilante, reboot, super powers, genet engineering, social outcast, duringcreditsstingerpet parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear – lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero.andrew garfield, emma stone, rhi ifan"
robin hood,20662,Ridley Scott,"action, adventurerobin hood, archer, knight, sherwood forest, bow and arrow, middl ages, medieval, king of englandwhen soldier robin happen upon the die robert of loxley, he promis to return the man' sword to hi famili in nottingham. there, he assum robert' identity; romanc hi widow, marion; and draw the ire of the town' sheriff and king john' henchman, godfrey.russel crowe, cate blanchett, max von sydow"
the hobbit: the desolation of smaug,57158,Peter Jackson,"adventure, fantasyelves, dwarves, orcs, hobbit, dragon, wizard, sword and sorceryth dwarves, bilbo and gandalf have success escap the misti mountains, and bilbo ha gain the one ring. they all continu their journey to get their gold back from the dragon, smaug.martin freeman, ian mckellen, richard armitag"
the golden compass,2268,Chris Weitz,"adventure, fantasyengland, compass, experiment, lordship, uncle, polar bear, orphan, animal, base on young adult novelaft overhear a shock secret, precoci orphan lyra belacqua trade her carefre exist roam the hall of jordan colleg for an otherworldli adventur in the far north, unawar that it' part of her destiny.dakota blue richards, nicol kidman, daniel craig"
king kong,254,Peter Jackson,"adventure, drama, actionfilm business, screenplay, show business, film making, film producer, exot island, monster, indigenous, ship, dinosaurin 1933 new york, an overli ambiti movi produc coerc hi cast and hire ship crew to travel to mysteri skull island, where they encount kong, a giant ape who is immedi smitten with the lead lady.naomi watts, jack black, adrien brodi"
titanic,597,James Cameron,"drama, romance, thrillershipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star cross lovers, steerage, salvage, rich snob, 3d, 1910s84 year later, a 101-year-old woman name rose dewitt bukat tell the stori to her granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell and anatoli mikailavich on the keldysh about her life set in april 10th 1912, on a ship call titan when young rose board the depart ship with the upper-class passeng and her mother, ruth dewitt bukater, and her fiancé, caledon hockley. meanwhile, a drifter and artist name jack dawson and hi best friend fabrizio de rossi win third-class ticket to the ship in a game. and she explain the whole stori from departur until the death of titan on it first and last voyag april 15th, 1912 at 2:20 in the morning.k winslet, leonardo dicaprio, franc fisher"
captain america: civil war,271110,"Anthony Russo, Joe Russo","adventure, action, scienc fictioncivil war, war, marvel comic, sequel, superhero, base on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinemat universe, 3dfollow the event of age of ultron, the collect govern of the world pass an act design to regul all superhuman activity. thi polar opinion amongst the avengers, caus two faction to side with iron man or captain america, which caus an epic battl between former allies.chri evans, robert downey jr., scarlett johansson"
battleship,44833,Peter Berg,"thriller, action, adventure, scienc fictionfight, u.s. navy, mind reading, hong kong, soccer, scientist, fiction war, naval, armada, battleship, naval combat, jd myoko, lost communication, taser, buoy, commun expert, joint chief of staff, crash landing, jet fighter pilot, navi lieutenant, permiss to marry, uss john paul jones, base on board game, aftercreditsstinger, mighti mo, uss missouriwhen mankind beam a radio signal into space, a repli come from ‘planet g’, in the form of sever alien craft that splash down in the water off hawaii. lieuten alex hopper is a weapon offic assign to the uss john paul jones, part of an intern naval coalit which becom the world' last hope for surviv as they engag the hostil alien forc of unimagin strength. while take on the invaders, hopper must also tri to live up to the potenti hi brother, and hi fiancée' father, admir shane, expect of him.taylor kitsch, alexand skarsgård, rihanna"
jurassic world,135397,Colin Trevorrow,"action, adventure, scienc fiction, thrillermonster, dna, tyrannosauru rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amus park, anim attack, theme park, jurass park, 3d, anim horrortwenty-two year after the event of jurass park, isla nublar now featur a fulli function dinosaur theme park, jurass world, as origin envis by john hammond.chri pratt, bryce dalla howard, irrfan khan"
skyfall,37724,Sam Mendes,"action, adventure, thrillerspy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, boobi trap, imperson a polic officer, macaowhen bond' latest assign goe grave wrong and agent around the world are exposed, mi6 is attack forc m to reloc the agency. these event caus her author and posit to be challeng by gareth mallory, the new chairman of the intellig and secur committee. with mi6 now compromis from both insid and out, m is left with one alli she can trust: bond. 007 take to the shadow - aid onli by field agent, eve - follow a trail to the mysteri silva, whose lethal and hidden motiv have yet to reveal themselves.daniel craig, judi dench, javier bardem"
spider-man 2,558,Sam Raimi,"action, adventure, fantasydu identity, love of one' life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villainpet parker is go through a major ident crisis. burn out from be spider-man, he decid to shelv hi superhero alter ego, which leav the citi suffer in the wake of carnag left by the evil doc ock. in the meantime, parker still can't act on hi feel for mari jane watson, a girl he' love sinc childhood.tobey maguire, kirsten dunst, jame franco"
iron man 3,68721,Shane Black,"action, adventure, scienc fictionterrorist, war on terror, tennessee, malibu, marvel comic, superhero, base on comic book, toni stark, iron man, aftercreditsstinger, marvel cinemat universe, mandarin, 3d, war machine, iron patriot, extremiswhen toni stark' world is torn apart by a formid terrorist call the mandarin, he start an odyssey of rebuild and retribution.robert downey jr., gwyneth paltrow, don cheadl"
alice in wonderland,12155,Tim Burton,"family, fantasy, adventurebas on novel, fiction place, queen, fantasy, alic in wonderland, fantasi world, 3dalice, an unpretenti and individu 19-year-old, is betroth to a dunc of an english nobleman. at her engag party, she escap the crowd to consid whether to go through with the marriag and fall down a hole in the garden after spot an unusu rabbit. arriv in a strang and surreal place call 'underland,' she find herself in a world that resembl the nightmar she had as a child, fill with talk animals, villain queen and knights, and frumiou bandersnatches. alic realiz that she is there for a reason – to conquer the horrif jabberwocki and restor the right queen to her throne.mia wasikowska, johnni depp, ann hathaway"
x-men: the last stand,36668,Brett Ratner,"adventure, action, scienc fiction, thrillermutant, marvel comic, base on comic book, superhuman, beast, cyclops, aftercreditsstingerwhen a cure is found to treat mutations, line are drawn amongst the x-men and the brotherhood, a band of power mutant organ under xavier' former ally, magneto.hugh jackman, hall berry, ian mckellen"
monsters university,62211,Dan Scanlon,"animation, familymonster, dormitory, games, animation, best friend, university, scary, aftercreditsstingera look at the relationship between mike and sulley dure their day at monster univers — when they weren't necessarili the best of friends.billi crystal, john goodman, steve buscemi"
transformers: revenge of the fallen,8373,Michael Bay,"scienc fiction, action, adventureegypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstingersam witwicki leav the autobot behind for a normal life. but when hi mind is fill with cryptic symbols, the decepticon target him and he is drag back into the transformers' war.shia labeouf, megan fox, josh duhamel"
transformers: age of extinction,91314,Michael Bay,"scienc fiction, action, adventuresequel, alien, transformers, giant robot, robot, imax, transform robota human pick up the pieces, follow the conclus of ""transformers: dark of the moon,"" autobot and decepticon have all but vanish from the face of the planet. however, a group of powerful, ingeni businessman and scientist attempt to learn from past transform incurs and push the boundari of technolog beyond what they can control - all while an ancient, power transform menac set earth in hi cross-hairs.mark wahlberg, stanley tucci, kelsey grammer"
oz: the great and powerful,68728,Sam Raimi,"fantasy, adventure, familycircus, witch, magic, hope, illusion, lost, magic trick, wizard, 3doscar diggs, a small-tim circu illusionist and con-artist, is whisk from kansa to the land of oz where the inhabit assum he' the great wizard of prophecy, there to save oz from the clutch of evil.jam franco, mila kunis, rachel weisz"
the amazing spider-man 2,102382,Marc Webb,"action, adventure, fantasyobsession, marvel comic, sequel, base on comic book, electrocution, medic experiment, electricity, super powersfor peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promis he made to gwen’ father to protect her by stay away, but that is a promis he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past.andrew garfield, emma stone, jami foxx"
tron: legacy,20526,Joseph Kosinski,"adventure, action, scienc fictionartifici intelligence, secret identity, comput program, dystopia, computer, deception, duel, motorcycle, neon light, autocracysam flynn, the tech-savvi and dare son of kevin flynn, investig hi father' disappear and is pull into the grid. with the help of a mysteri program name quorra, sam quest to stop evil dictat clu from cross into the real world.garrett hedlund, jeff bridges, olivia wild"
cars 2,49013,"John Lasseter, Brad Lewis","animation, family, adventure, comedycar race, sequel, comedy, anthropomorphism, best friend, duringcreditsstingerstar race car lightn mcqueen and hi pal mater head oversea to compet in the world grand prix race. but the road to the championship becom rocki as mater get caught up in an intrigu adventur of hi own: intern espionage.owen wilson, larri the cabl guy, michael cain"
green lantern,44912,Martin Campbell,"adventure, action, thriller, scienc fictiondc comics, transformation, superhero, alien, alien infection, magic object, protector, super powers, origin, 3dfor centuries, a small but power forc of warrior call the green lantern corp ha sworn to keep intergalact order. each green lantern wear a ring that grant him superpowers. but when a new enemi call parallax threaten to destroy the balanc of power in the universe, their fate and the fate of earth lie in the hand of the first human ever recruited.ryan reynolds, blake lively, peter sarsgaard"
toy story 3,10193,Lee Unkrich,"animation, family, comedyhostage, college, toy, barbie, animation, escape, day care, teddi bear, duringcreditsstinger, toy come to life, personification, inanim object come to life, toy storywoody, buzz, and the rest of andy' toy haven't been play with in years. with andi about to go to college, the gang find themselv accident left at a nefari day care center. the toy must band togeth to escap and return home to andy.tom hanks, tim allen, ned beatti"
terminator salvation,534,McG,"action, scienc fiction, thrillersav the world, artifici intelligence, prophecy, san francisco, cyborg, killer robot, ga station, post-apocalyptic, dystopia, army, firearm, wartime, lo angelesal grown up in post-apocalypt 2018, john connor must lead the resist of human against the increasingli domin militarist robots. but when marcu wright appears, hi exist confus the mission as connor tri to determin whether wright ha come from the futur or the past -- and whether he' friend or foe.christian bale, sam worthington, anton yelchin"
furious 7,168259,James Wan,"actioncar race, speed, revenge, suspense, car, race, muscl cardeckard shaw seek reveng against domin toretto and hi famili for hi comatos brother.vin diesel, paul walker, dwayn johnson"
world war z,72190,Marc Forster,"action, drama, horror, scienc fiction, thrillerdystopia, apocalypse, zombie, nuclear weapons, multipl perspectives, zombi apocalypselif for former unit nation investig gerri lane and hi famili seem content. suddenly, the world is plagu by a mysteri infect turn whole human popul into rampag mindless zombies. after bare escap the chaos, lane is persuad to go on a mission to investig thi disease. what follow is a peril trek around the world where lane must brave horrif danger and long odd to find answer befor human civil falls.brad pitt, mireil enos, abigail hargrov"
x-men: days of future past,127585,Bryan Singer,"action, adventure, fantasy, scienc fiction1970s, mutant, time travel, marvel comic, base on comic book, superhuman, storm, beast, aftercreditsstinger, chang the past or futureth ultim x-men ensembl fight a war for the surviv of the speci across two time period as they join forc with their younger selv in an epic battl that must chang the past – to save our future.hugh jackman, jame mcavoy, michael fassbend"
star trek into darkness,54138,J.J. Abrams,"action, adventure, scienc fictionspacecraft, friendship, sequel, futuristic, space, alien, imax, space opera, terrorist bombing, 3dwhen the crew of the enterpris is call back home, they find an unstopp forc of terror from within their own organ ha deton the fleet and everyth it stand for, leav our world in a state of crisis. with a person score to settle, captain kirk lead a manhunt to a war-zon world to captur a one man weapon of mass destruction. as our hero are propel into an epic chess game of life and death, love will be challenged, friendship will be torn apart, and sacrific must be made for the onli famili kirk ha left: hi crew.chri pine, zachari quinto, zoe saldana"
jack the giant slayer,81005,Bryan Singer,"action, family, fantasybas on fairi tale, giantth stori of an ancient war that is reignit when a young farmhand unwittingli open a gateway between our world and a fearsom race of giants. unleash on the earth for the first time in centuries, the giant strive to reclaim the land they onc lost, forc the young man, jack into the battl of hi life to stop them. fight for a kingdom, it people, and the love of a brave princess, he come face to face with the unstopp warrior he thought onli exist in legend–and get the chanc to becom a legend himself.nichola hoult, eleanor tomlinson, ewan mcgregor"
the great gatsby,64682,Baz Luhrmann,"drama, romancebas on novel, infidelity, obsession, hope, 3dan adapt of f. scott fitzgerald' long island-set novel, where midwestern nick carraway is lure into the lavish world of hi neighbor, jay gatsby. soon enough, however, carraway will see through the crack of gatsby' nouveau rich existence, where obsession, madness, and tragedi await.leonardo dicaprio, tobey maguire, carey mulligan"
prince of persia: the sands of time,9543,Mike Newell,"adventure, fantasy, action, romancepersia, sandstorm, brother against brother, armageddon, regent, base on video gamea rogu princ reluctantli join forc with a mysteri princess and together, they race against dark forc to safeguard an ancient dagger capabl of releas the sand of time – gift from the god that can revers time and allow it possessor to rule the world.jak gyllenhaal, gemma arterton, ben kingsley"
pacific rim,68726,Guillermo del Toro,"action, scienc fiction, adventuredystopia, giant robot, giant monster, apocalypse, imax, duringcreditsstinger, 3dwhen legion of monstrou creatures, known as kaiju, start rise from the sea, a war began that would take million of live and consum humanity' resourc for year on end. to combat the giant kaiju, a special type of weapon wa devised: massiv robots, call jaegers, which are control simultan by two pilot whose mind are lock in a neural bridge. but even the jaeger are prove nearli defenseless in the face of the relentless kaiju. on the verg of defeat, the forc defend mankind have no choic but to turn to two unlik heroes—a washed-up former pilot (charli hunnam) and an untest traine (rinko kikuchi)—who are team to drive a legendari but seemingli obsolet jaeger from the past. together, they stand as mankind' last hope against the mount apocalypse.idri elba, charli hunnam, charli day"
transformers: dark of the moon,38356,Michael Bay,"action, scienc fiction, adventuremoon, spacecraft, traitor, bodyguard, alien planet, base on cartoon, transformers, giant robot, sabotage, word domination, commando, duringcreditsstingersam witwicki take hi first tenuou step into adulthood while remain a reluct human alli of autobot-lead optimu prime. the film center around the space race between the ussr and the usa, suggest there wa a hidden transform role in it all that remain one of the planet' most danger secrets.shia labeouf, john malkovich, ken jeong"
indiana jones and the kingdom of the crystal skull,217,Steven Spielberg,"adventure, actionsav the world, riddle, whip, treasure, mexico city, leather jacket, machinegun, alien phenomenons, maya civilization, peru, treasur hunt, nuclear explosion, refrigerator, archaeologist, indiana jones, archeolog set dure the cold war, the soviet – led by sword-wield irina spalko – are in search of a crystal skull which ha supernatur power relat to a mystic lost citi of gold. after be captur and then escap from them, indi is coerc to head to peru at the behest of a young man whose friend – and indy' colleagu – professor oxley ha been captur for hi knowledg of the skull' whereabouts.harrison ford, cate blanchett, shia labeouf"
the good dinosaur,105864,Peter Sohn,"adventure, animation, familytyrannosauru rex, friends, altern history, dinosaur, fear, storm, nature, human, journeyan epic journey into the world of dinosaur where an apatosauru name arlo make an unlik human friend.raymond ochoa, jack bright, jeffrey wright"
brave,62177,"Brenda Chapman, Mark Andrews, Steve Purcell","animation, adventure, comedy, family, action, fantasyscotland, rebel, bravery, kingdom, archer, wish, bear, scot, rebelli daughter, turn into animal, archery, ruins, aftercreditsstinger, peac offering, woman director, courage, 3dbrave is set in the mystic scottish highlands, where mérida is the princess of a kingdom rule by king fergu and queen elinor. an unruli daughter and an accomplish archer, mérida one day defi a sacr custom of the land and inadvert bring turmoil to the kingdom. in an attempt to set thing right, mérida seek out an eccentr old wise woman and is grant an ill-fat wish. also figur into mérida’ quest — and serv as comic relief — are the kingdom’ three lords: the enorm lord macguffin, the surli lord macintosh, and the disagre lord dingwall.kelli macdonald, juli walters, billi connolli"
star trek beyond,188927,Justin Lin,"action, adventure, scienc fictionsequel, stranded, hatred, space operath uss enterpris crew explor the furthest reach of unchart space, where they encount a mysteri new enemi who put them and everyth the feder stand for to the test.chri pine, zachari quinto, karl urban"
wall·e,10681,Andrew Stanton,"animation, familyromant comedywall· is the last robot left on an earth that ha been overrun with garbag and all human have fled to outer space. for 700 year he ha continu to tri and clean up the mess, but ha develop some rather interest human-lik qualities. when a ship arriv with a sleek new type of robot, wall· think he' final found a friend and stow away on the ship when it leaves.ben burtt, elissa knight, jeff garlin"
rush hour 3,5174,Brett Ratner,"action, comedy, crime, thrillerambassadoraft an attempt assassin on ambassador han, inspector lee and detect carter are back in action as they head to pari to protect a french woman with knowledg of the triads' secret leaders. lee also hold secret meet with a unit nation authority, but hi person struggl with a chines crimin mastermind name kenji, which reveal that it' lee' long-lost...brother.chri tucker, jacki chan, hiroyuki sanada"
2012,14161,Roland Emmerich,"action, adventure, scienc fictioncivilization, natur disaster, end of the world, disaster, apocalypse, destruction, volcan eruption, mayan, ark, solar, destruct of mankinddr. adrian helmsley, part of a worldwid geophys team investig the effect on the earth of radiat from unpreced solar storms, learn that the earth' core is heat up. he warn u.s. presid thoma wilson that the crust of the earth is becom unstabl and that without proper prepar for save a fraction of the world' population, the entir race is doomed. meanwhile, writer jackson curti stumbl on the same information. while the world' leader race to build ""arks"" to escap the impend cataclysm, curti struggl to find a way to save hi family. meanwhile, volcan erupt and earthquak of unpreced strength wreak havoc around the world.john cusack, amanda peet, chiwetel ejiofor"
a christmas carol,17979,Robert Zemeckis,"animation, dramaholiday, base on novel, victorian england, money, christma eve, scrooge, christma carol, ghost, lesson, charl dickens, christmasmis ebenez scroog is awaken on christma eve by spirit who reveal to him hi own miser existence, what opportun he wast in hi youth, hi current cruelties, and the dire fate that await him if he doe not chang hi ways. scroog is face with hi own stori of grow bitter and meanness, and must decid what hi own futur will hold: death or redemption.gari oldman, jim carrey, steve valentin"
jupiter ascending,76757,"Lilly Wachowski, Lana Wachowski","scienc fiction, fantasy, action, adventurejupiter, space, woman director, 3d, interspeci romancein a univers where human genet materi is the most preciou commodity, an impoverish young earth woman becom the key to strateg maneuv and intern strife within a power dynasty…mila kunis, chan tatum, sean bean"
the legend of tarzan,258489,David Yates,"action, adventureafrica, feral child, tarzan, jungle, anim attacktarzan, have acclim to life in london, is call back to hi former home in the jungl to investig the activ at a mine encampment.alexand skarsgård, margot robbie, christoph waltz"
"the chronicles of narnia: the lion, the witch and the wardrobe",411,Andrew Adamson,"adventure, family, fantasysav the world, witch, base on novel, brother sister relationship, self sacrifice, winter, cupboard, beaver, lion, fairy-tal figure, battle, narnia, fantasi world, duringcreditsstingers lucy, edmund, susan and peter step through a magic wardrob and find the land of narnia. there, the they discov a charming, onc peac kingdom that ha been plung into etern winter by the evil white witch, jadis. aid by the wise and magnific lion, aslan, the children lead narnia into a spectacular, climact battl to be free of the witch' glacial power forever.william moseley, anna popplewell, skandar keyn"
x-men: apocalypse,246655,Bryan Singer,"scienc fictionmutant, supernatur powers, marvel comic, superhero, base on comic book, superhuman, apocalypse, superhero team, world domination, aftercreditsstinger, 1980safter the re-emerg of the world' first mutant, world-destroy apocalypse, the x-men must unit to defeat hi extinct level plan.jam mcavoy, michael fassbender, jennif lawrenc"
the dark knight,155,Christopher Nolan,"drama, action, crime, thrillerdc comics, crime fighter, secret identity, scarecrow, sadism, chaos, gotham city, vigilante, joker, superhero, base on comic book, tragic hero, organ crime, crimin mastermind, district attorney, imax, super villain, super powers, batmanbatman rais the stake in hi war on crime. with the help of lt. jim gordon and district attorney harvey dent, batman set out to dismantl the remain crimin organ that plagu the streets. the partnership prove to be effective, but they soon find themselv prey to a reign of chao unleash by a rise crimin mastermind known to the terrifi citizen of gotham as the joker.christian bale, heath ledger, aaron eckhart"
